Food Name and Description,Protein,Total Fat,Carbohydrates
Wax gourd fruit boiled,0.1,0.1,3
Wild ginger,2.1,0.4,5
Winged bean pod,2,0.3,5.1
Winged bean pod boiled,1.6,0.3,6.4
Asparagus cnd,1.6,0.4,5.1
Bamboo shoot cnd,1.1,0.4,2.6
Bamboo shoot dried,17.1,1.4,69
Black wood ear mushroom dried,8.4,0.5,71.6
Cucumber salted cnd,2.9,0.2,5.8
Mushroom cnd,2.3,0.4,2.5
Mushroom dried,16,0.9,64.6
Mustard lvs pickled,1.4,0.1,2.3
Mustard lvs salted,1.9,1,2.9
Olive green in brine,1.3,12.6,3.4
Olive ripe in brine,1,16,2.6
Papaya fruit unripe dried,6.7,0.6,75.7
Pickle relish,0.3,0.9,33.9
Pickles mixed,0.2,3.1,33.5
Pickles papaya,0.8,8.7,30.3
Pickles whole gherkins,0.4,1.7,28.7
Pimiento cnd,0.6,0.5,3.3
Radish salted cnd,2.7,0.4,7.8
Taro lvs dried,23.1,9.2,53.1
Bagbagkong flower raw,4.1,0.6,6.9
Batwan immature fruit raw,0.6,0.1,12.4
Bitter melon/gourd wild fruit raw,1.2,0.3,5.4
Malunggay leaves powder dry,28.8,8.7,47
Mangrove apple raw,1.6,0.5,15.2
Ivy gourd immature fruit raw,1.2,0.3,5.2
Basil sweet fresh,3.3,0.6,6.9
Libas mature lvs,3.8,1.3,15.7
Libas young lvs,2.8,0.7,16.5
Thyme fresh,5.3,1.9,20
Apple green,0.5,0.1,14.9
Apple red,0.7,0.1,15.8
Atemoya,0.5,0.3,14.5
Avocado green,0.9,6.2,10.5
Avocado red,0.9,7.6,7
Banana bunulan,1,0.4,24.5
Banana butuan,1.3,0.3,23.2
Banana cavendish ripe,0.9,0.9,23.1
Banana cavendish unripe,1.1,0.7,25.4
Banana gloria,1.1,0.1,31.7
Banana lacatan,1.4,0.2,29.6
Banana latundan,1.2,0.3,24.4
Banana murado,1.2,0.5,24.5
Banana saba,1.1,0.4,25.5
Banana saba boiled,1.2,0,38.6
Banana ternate,0.9,0.4,31.6
Banana tuldok,1.1,0.2,23.3
Bignay,0.7,0.8,6.3
